,month,year,METER_ID,BUILDING_GROUP,CONSUMPTION
410,6,2017,30,Laboratory,133814.2762
411,7,2017,30,Laboratory,147779.6075
412,8,2017,30,Laboratory,135014.9711
413,9,2017,30,Laboratory,138639.8602
414,10,2017,30,Laboratory,124393.2768
415,11,2017,30,Laboratory,101848.3907
416,12,2017,30,Laboratory,87948.0984
417,1,2018,30,Laboratory,86227.2382
418,2,2018,30,Laboratory,82285.9592
419,3,2018,30,Laboratory,91827.0453
420,4,2018,30,Laboratory,97691.424
421,5,2018,30,Laboratory,125868.5791
422,6,2018,30,Laboratory,134823.6611
423,7,2018,30,Laboratory,141622.9694
424,8,2018,30,Laboratory,140306.425
425,9,2018,30,Laboratory,131325.3602
426,10,2018,30,Laboratory,110423.852
427,11,2018,30,Laboratory,95414.9243
428,12,2018,30,Laboratory,86906.779
429,1,2019,30,Laboratory,84923.142
430,2,2019,30,Laboratory,85282.8465
431,3,2019,30,Laboratory,94482.6719
432,4,2019,30,Laboratory,103094.9929
433,5,2019,30,Laboratory,113699.692
434,6,2019,30,Laboratory,118292.896
435,7,2019,30,Laboratory,163977.5209
436,8,2019,30,Laboratory,138641.4444
437,9,2019,30,Laboratory,145904.1373
438,10,2019,30,Laboratory,113797.3609
439,11,2019,30,Laboratory,102856.9132
440,12,2019,30,Laboratory,112276.3467
441,1,2020,30,Laboratory,41731.3926
442,1,2016,22,Library,12634.1863
443,2,2016,22,Library,62416.4772
444,3,2016,22,Library,56550.28823
445,4,2016,22,Library,60042.0382
446,5,2016,22,Library,56394.55029
447,6,2016,22,Library,51748.7279
448,7,2016,22,Library,63747.78488
449,8,2016,22,Library,79354.17793
450,9,2016,22,Library,90331.159
451,10,2016,22,Library,74569.7809
452,11,2016,22,Library,65015.43325
453,12,2016,22,Library,67095.67
454,1,2017,22,Library,79173.9893
455,2,2017,22,Library,71453.2744
456,3,2017,22,Library,64816.42351
457,4,2017,22,Library,61801.76712
458,5,2017,22,Library,64120.58131
459,6,2017,22,Library,66258.2761
460,7,2017,22,Library,69034.0453
461,8,2017,22,Library,78676.43465
462,9,2017,22,Library,94854.697
463,10,2017,22,Library,83545.27097
464,11,2017,22,Library,72519.06039
465,12,2017,22,Library,66991.14564
466,1,2018,22,Library,72245.23081
467,2,2018,22,Library,60619.19655
468,3,2018,22,Library,59449.4388
469,4,2018,22,Library,59579.98229
470,5,2018,22,Library,63219.94906
471,6,2018,22,Library,55468.60321
472,7,2018,22,Library,60355.57793
473,8,2018,22,Library,73558.10067
474,9,2018,22,Library,82038.2553
475,10,2018,22,Library,64705.3943
476,11,2018,22,Library,53448.3174
477,12,2018,22,Library,50320.0063
478,1,2019,22,Library,57839.6392
479,2,2019,22,Library,44761.7722
480,3,2019,22,Library,39436.8248
481,4,2019,22,Library,37691.3132
482,5,2019,22,Library,54997.6703
483,6,2019,22,Library,52268.7417
484,7,2019,22,Library,51363.439
485,8,2019,22,Library,49394.88208
486,9,2019,22,Library,57482.6315
487,10,2019,22,Library,49956.04984
488,11,2019,22,Library,39119.54712
489,12,2019,22,Library,41356.72521
490,1,2020,22,Library,29203.59023
491,1,2016,5,Performance Hall,4817.40084
492,2,2016,5,Performance Hall,27497.67686
493,3,2016,5,Performance Hall,25286.35406
494,4,2016,5,Performance Hall,31900.68364
495,5,2016,5,Performance Hall,40444.5247
496,6,2016,5,Performance Hall,51017.8011
497,7,2016,5,Performance Hall,49734.41875
498,8,2016,5,Performance Hall,42538.01927
499,9,2016,5,Performance Hall,46842.3383
500,10,2016,5,Performance Hall,38065.27873
501,11,2016,5,Performance Hall,33503.4657
502,12,2016,5,Performance Hall,24912.43098
503,1,2017,5,Performance Hall,24653.46187
504,2,2017,5,Performance Hall,25924.68455
505,3,2017,5,Performance Hall,26622.68954
506,4,2017,5,Performance Hall,26178.01779
507,5,2017,5,Performance Hall,32965.07749
508,6,2017,5,Performance Hall,48609.358
509,7,2017,5,Performance Hall,47054.1723
510,8,2017,5,Performance Hall,41045.48227
511,9,2017,5,Performance Hall,45564.60196
512,10,2017,5,Performance Hall,37680.40059
513,11,2017,5,Performance Hall,32808.06831
514,12,2017,5,Performance Hall,27046.04495
515,1,2018,5,Performance Hall,26898.56074
516,2,2018,5,Performance Hall,26328.96831
517,3,2018,5,Performance Hall,28178.98991
518,4,2018,5,Performance Hall,29825.17404
519,5,2018,5,Performance Hall,37042.69505
520,6,2018,5,Performance Hall,51033.8605
521,7,2018,5,Performance Hall,41809.72486
522,8,2018,5,Performance Hall,39106.6664
523,9,2018,5,Performance Hall,37857.23315
524,10,2018,5,Performance Hall,32600.49386
525,11,2018,5,Performance Hall,26544.38122
526,12,2018,5,Performance Hall,21097.28008
527,1,2019,5,Performance Hall,22209.86562
528,2,2019,5,Performance Hall,21080.20391
529,3,2019,5,Performance Hall,21784.87124
530,4,2019,5,Performance Hall,25393.15338
531,5,2019,5,Performance Hall,31952.51335
532,6,2019,5,Performance Hall,44186.71527
533,7,2019,5,Performance Hall,51361.9516
534,8,2019,5,Performance Hall,38311.21028
535,9,2019,5,Performance Hall,39108.19134
536,10,2019,5,Performance Hall,28379.15087
537,11,2019,5,Performance Hall,20561.53092
538,12,2019,5,Performance Hall,19470.85101
539,1,2020,5,Performance Hall,10555.07422
540,1,2016,2,Residence,5782.34226
541,2,2016,2,Residence,28732.82179
542,3,2016,2,Residence,25995.71888
543,4,2016,2,Residence,30572.62796
544,5,2016,2,Residence,26430.30307
545,6,2016,2,Residence,25887.48307
546,7,2016,2,Residence,25511.18798
547,8,2016,2,Residence,28570.98795
548,9,2016,2,Residence,38368.9817
549,10,2016,2,Residence,30476.82844
550,11,2016,2,Residence,27549.24459
551,12,2016,2,Residence,22439.59404
552,1,2017,2,Residence,26502.86072
553,2,2017,2,Residence,25786.25035
554,3,2017,2,Residence,24207.77554
555,4,2017,2,Residence,27491.5313
556,5,2017,2,Residence,24831.14002
557,6,2017,2,Residence,22244.58512
558,7,2017,2,Residence,23953.95565
559,8,2017,2,Residence,25599.86327
560,9,2017,2,Residence,37217.32796
561,10,2017,2,Residence,27856.43925
562,11,2017,2,Residence,26249.43024
563,12,2017,2,Residence,19774.44484
564,1,2018,2,Residence,24243.56862
565,2,2018,2,Residence,23470.87673
566,3,2018,2,Residence,24990.05494
567,4,2018,2,Residence,26100.94727
568,5,2018,2,Residence,26457.37928
569,6,2018,2,Residence,24272.73809
570,7,2018,2,Residence,25758.46086
571,8,2018,2,Residence,26322.31098
572,9,2018,2,Residence,36692.99517
573,10,2018,2,Residence,28487.81377
574,11,2018,2,Residence,26517.31877
575,12,2018,2,Residence,19549.69748
576,1,2019,2,Residence,24308.46671
577,2,2019,2,Residence,23698.41348
578,3,2019,2,Residence,24490.34837
579,4,2019,2,Residence,25549.96916
580,5,2019,2,Residence,25054.79992
581,6,2019,2,Residence,21734.31756
582,7,2019,2,Residence,24237.64581
583,8,2019,2,Residence,24536.60633
584,9,2019,2,Residence,34402.81131
585,10,2019,2,Residence,25108.92578
586,11,2019,2,Residence,22640.76011
587,12,2019,2,Residence,17272.83013
588,1,2020,2,Residence,10704.96877
589,1,2016,6,Residence,8655.7466
590,2,2016,6,Residence,39095.7732
